genot	allele_measured	Other_allele_inGenot	Ct	RéplicatBiol_génotype	réplicat_Techclone	stade	recc_geno	recc_tech	recc_alle	x	info	Ct2
SCR02_SCR12	SCR02	SCR12	0.0000416882402573974	157-8	7	C	5	1	2	5.1	NA	0.000192850402052807
SCR02_SCR12	SCR02	SCR12	0.000121227111259404	157-8	7	C	5	1	2	5.1	NA	0.000560798369077909
SCR02_SCR12	SCR02	SCR12	0.000124347633051427	157-8	7	D	5	1	2	5.1	NA	0.00057523394799634
SCR02_SCR12	SCR02	SCR12	0.0000433582684060356	157-8	7	D	5	1	2	5.1	NA	0.000200575976409409
SCR02_SCR12	SCR02	SCR12	1.25547668403972E-06	157-8	7	D	5	1	2	5.1	NA	5.80785328884259E-06
SCR02_SCR12	SCR02	SCR12	0.000073426821049934	200-4	16	C	5	2	2	5.2	NA	0.000339673535594408
SCR02_SCR12	SCR02	SCR12	0.0000190040530755436	200-4	16	C	5	2	2	5.2	NA	0.0000879130242395191
SCR02_SCR12	SCR02	SCR12	0.0000284081944609948	200-4	16	C	5	2	2	5.2	NA	0.00013141671822967
SCR02_SCR12	SCR02	SCR12	0.000127254121196426	200-4	16	D	5	2	2	5.2	NA	0.000588679404169686
SCR02_SCR12	SCR02	SCR12	0.0000434585630980552	200-4	16	D	5	2	2	5.2	NA	0.000201039941104496
SCR02_SCR12	SCR02	SCR12	0.0000157968890967007	200-4	16	D	5	2	2	5.2	NA	0.0000730766373124076
SCR02_SCR13	SCR02	SCR13	1.35989632113984E-07	136-5	49	C	6	1	2	6.1	NA	6.29090003950012E-07
SCR02_SCR13	SCR02	SCR13	0.0000538759153009434	136-5	49	C	6	1	2	6.1	NA	0.000249230762982524
SCR02_SCR13	SCR02	SCR13	0.000036544149921232	136-5	49	C	6	1	2	6.1	NA	0.000169053765797589
SCR02_SCR13	SCR02	SCR13	0.0000368834550887074	136-5	49	D	6	1	2	6.1	NA	0.000170623396407137
SCR02_SCR13	SCR02	SCR13	0.000112587425974846	136-5	49	D	6	1	2	6.1	NA	0.000520831060061043
SCR02_SCR13	SCR02	SCR13	0.000150633819534188	136-5	49	D	6	1	2	6.1	NA	0.00069683422664413
SCR02_SCR13	SCR02	SCR13	0.0000786969182397205	86-5	78	C	6	2	2	6.2	NA	0.000364053081375963
SCR02_SCR13	SCR02	SCR13	0.000109762028276146	86-5	78	C	6	2	2	6.2	NA	0.000507760729464474
SCR02_SCR13	SCR02	SCR13	0.0000962180219701218	86-5	78	C	6	2	2	6.2	NA	0.000445105960508161
SCR02_SCR13	SCR02	SCR13	0.0000576095161548885	86-5	78	D	6	2	2	6.2	NA	0.000266502454503738
SCR02_SCR13	SCR02	SCR13	0.0000744518212744264	86-5	78	D	6	2	2	6.2	NA	0.000344415201449745
SCR02_SCR13	SCR02	SCR13	0.0000398977431397127	86-5	78	D	6	2	2	6.2	NA	0.000184567536503964
SCR02_SCR20	SCR02	SCR20	0.0000276952867223254	66-7	50	C	7	1	2	7.1	NA	0.000128118796725186
SCR02_SCR20	SCR02	SCR20	0.0000141386117842158	66-7	50	C	7	1	2	7.1	NA	0.0000654054224937151
SCR02_SCR20	SCR02	SCR20	0.0000303067778148509	66-7	50	C	7	1	2	7.1	NA	0.000140199592269477
SCR02_SCR20	SCR02	SCR20	4.37182373798372E-06	66-7	50	D	7	1	2	7.1	NA	0.0000202241198085727
SCR02_SCR20	SCR02	SCR20	3.57572363494866E-06	66-7	50	D	7	1	2	7.1	NA	0.0000165413492239508
SCR02_SCR20	SCR02	SCR20	0.0000178547401917437	66-7	50	D	7	1	2	7.1	NA	0.000082596286225231
SCR02_SCR20	SCR02	SCR20	0.0000281468564937116	44-4	74	C	7	2	2	7.2	NA	0.000130207765015261
